category,precision,recall,f1-score,support
95,0.6008403361344538,0.55,0.5742971887550201,260.0
96,0.5708502024291497,0.5465116279069767,0.5584158415841585,258.0
97,0.5,0.0413223140495867,0.0763358778625954,121.0
98,0.32,0.0842105263157894,0.1333333333333333,95.0
99,0.4264705882352941,0.2436974789915966,0.3101604278074866,119.0
100,0.1666666666666666,0.081081081081081,0.1090909090909091,74.0
101,0.3707865168539326,0.532258064516129,0.4370860927152318,310.0
102,0.2702702702702703,0.1666666666666666,0.2061855670103092,60.0
103,0.5714285714285714,0.2222222222222222,0.32,144.0
104,0.5597014925373134,0.4643962848297213,0.5076142131979695,323.0
105,0.5757575757575758,0.1241830065359477,0.2043010752688172,153.0
106,0.6571428571428571,0.1554054054054054,0.2513661202185792,148.0
107,0.6,0.1147540983606557,0.1926605504587156,183.0
108,0.40893470790378,0.5063829787234042,0.4524714828897337,235.0
109,0.6759776536312849,0.4689922480620155,0.5537757437070939,258.0
110,0.5294117647058824,0.0566037735849056,0.1022727272727272,159.0
111,0.2142857142857142,0.0333333333333333,0.0576923076923076,90.0
112,0.2857142857142857,0.0120481927710843,0.0231213872832369,166.0
113,0.0876190476190476,0.2081447963800905,0.1233243967828418,221.0
114,0.7340425531914894,0.3876404494382022,0.5073529411764706,178.0
115,0.6538461538461539,0.1878453038674033,0.2918454935622318,181.0
116,0.1182266009852216,0.1751824817518248,0.1411764705882353,137.0
117,0.2580645161290322,0.0714285714285714,0.1118881118881119,112.0
118,0.2878787878787879,0.1557377049180328,0.2021276595744681,122.0
119,0.2195121951219512,0.0354330708661417,0.0610169491525423,254.0
120,0.0811965811965812,0.080168776371308,0.0806794055201698,237.0
121,0.7452471482889734,0.6222222222222222,0.6782006920415224,315.0
122,0.3461538461538461,0.1875,0.2432432432432432,48.0
123,0.6129032258064516,0.1484375,0.2389937106918238,128.0
124,0.2023575638506876,0.5364583333333334,0.2938659058487874,192.0
125,0.7843137254901961,0.6153846153846154,0.6896551724137931,260.0
126,0.2337962962962963,0.7062937062937062,0.351304347826087,286.0
127,0.4120603015075377,0.4338624338624338,0.422680412371134,189.0
128,0.4444444444444444,0.2133333333333333,0.2882882882882883,75.0
129,0.4444444444444444,0.0392156862745098,0.072072072072072,102.0
130,0.3492063492063492,0.1366459627329192,0.1964285714285714,161.0
131,0.2631578947368421,0.100502512562814,0.1454545454545454,199.0
132,0.2352941176470588,0.1509433962264151,0.1839080459770115,53.0
133,0.46875,0.1209677419354838,0.1923076923076923,124.0
134,0.6666666666666666,0.0187793427230046,0.0365296803652968,213.0
135,0.2676056338028169,0.1958762886597938,0.2261904761904762,97.0
136,0.2702702702702703,0.1632653061224489,0.2035623409669211,245.0
137,0.3571428571428571,0.1282051282051282,0.1886792452830188,39.0
138,0.28,0.1166666666666666,0.1647058823529411,120.0
139,0.5,0.2043795620437956,0.2901554404145078,137.0
140,0.1419141914191419,0.2362637362637362,0.177319587628866,182.0
141,0.3205479452054794,0.5909090909090909,0.4156305506216696,198.0
142,0.1866666666666666,0.0606060606060606,0.0915032679738562,231.0
143,0.8333333333333334,0.032258064516129,0.062111801242236,155.0
144,0.5319148936170213,0.2757352941176471,0.3631961259079903,272.0
145,0.7764227642276422,0.6920289855072463,0.731800766283525,276.0
146,0.4146341463414634,0.0691056910569105,0.1184668989547038,246.0
147,0.2478991596638655,0.3371428571428571,0.2857142857142857,175.0
148,0.077559462254395,0.3571428571428571,0.1274426508071368,210.0
149,0.625,0.0217391304347826,0.042016806722689,230.0
150,0.3125,0.1295336787564766,0.1831501831501831,193.0
151,0.6666666666666666,0.0402684563758389,0.0759493670886075,149.0
152,0.6,0.0263157894736842,0.0504201680672268,114.0
153,0.0,0.0,0.0,37.0
154,0.1071428571428571,0.0288461538461538,0.0454545454545454,104.0
155,0.1846153846153846,0.1411764705882353,0.16,85.0
156,0.1616541353383458,0.455026455026455,0.2385575589459084,189.0
157,0.3653846153846153,0.4108108108108108,0.3867684478371501,185.0
158,0.3333333333333333,0.0256410256410256,0.0476190476190476,39.0
159,0.2553191489361702,0.0909090909090909,0.1340782122905028,132.0
160,0.0,0.0,0.0,48.0
