,precision,recall,f1-score,support
0,1.0,0.010050251256281407,0.01990049751243781,199.0
1,0.6666666666666666,0.06557377049180328,0.11940298507462688,122.0
2,0.45794392523364486,0.2552083333333333,0.32775919732441466,192.0
3,0.4166666666666667,0.09900990099009901,0.16,101.0
4,0.3142857142857143,0.26506024096385544,0.28758169934640526,83.0
5,0.2807017543859649,0.4933920704845815,0.3578274760383386,227.0
6,0.09333333333333334,0.125,0.1068702290076336,168.0
7,0.49206349206349204,0.30097087378640774,0.3734939759036145,103.0
8,0.75,0.03529411764705882,0.06741573033707865,85.0
9,0.49624060150375937,0.5409836065573771,0.5176470588235293,122.0
10,0.7606382978723404,0.5257352941176471,0.6217391304347827,272.0
11,0.4583333333333333,0.43258426966292135,0.44508670520231214,178.0
12,0.6451612903225806,0.36231884057971014,0.46403712296983757,276.0
13,0.4,0.044444444444444446,0.07999999999999999,90.0
14,0.4375,0.1337579617834395,0.20487804878048782,157.0
15,0.45652173913043476,0.7567567567567568,0.5694915254237288,111.0
16,0.5761904761904761,0.41724137931034483,0.484,290.0
17,0.4,0.04524886877828054,0.08130081300813008,221.0
18,0.42574257425742573,0.23118279569892472,0.29965156794425085,186.0
19,0.7252747252747253,0.27049180327868855,0.3940298507462687,244.0
20,0.35714285714285715,0.36231884057971014,0.3597122302158273,138.0
21,0.22580645161290322,0.1099476439790576,0.147887323943662,191.0
22,0.75,0.01507537688442211,0.02955665024630542,199.0
23,0.11926605504587157,0.2765957446808511,0.16666666666666669,141.0
24,0.3559322033898305,0.35795454545454547,0.35694050991501414,176.0
25,0.26666666666666666,0.12903225806451613,0.17391304347826086,155.0
26,0.5,0.09375,0.15789473684210525,64.0
27,0.5426008968609866,0.4745098039215686,0.506276150627615,255.0
28,0.26666666666666666,0.05228758169934641,0.08743169398907104,153.0
29,0.7335766423357665,0.7282608695652174,0.730909090909091,276.0
30,0.38181818181818183,0.18340611353711792,0.24778761061946902,229.0
31,0.8333333333333334,0.7117437722419929,0.7677543186180423,281.0
32,0.037037037037037035,0.08,0.05063291139240506,25.0
33,0.6285714285714286,0.6984126984126984,0.6616541353383458,63.0
